date,open,close,high,low,volume
2008-01-14,9.855,10.417,10.698,9.691,1072857.68
2008-01-15,10.417,10.572,10.649,10.146,785105.28
2008-01-16,10.436,10.078,10.465,10.02,604462.96
2008-01-17,9.923,9.807,10.165,9.255,857289.57
2008-01-18,9.807,9.652,9.894,9.391,430043.0
2008-01-21,9.662,9.4,9.729,9.207,512102.36
2008-01-22,9.197,8.665,9.342,8.461,834540.77
2008-01-23,8.887,9.42,9.536,8.887,1052739.69
2008-01-24,9.468,9.749,9.817,9.1,859242.73
2008-01-25,9.584,9.633,10.049,9.4,601394.78
2008-01-28,9.487,8.926,9.575,8.742,394795.81
2008-01-29,8.897,8.974,9.197,8.761,200037.89
2008-01-30,9.149,8.974,9.255,8.723,227000.95
2008-01-31,8.974,8.781,9.265,8.742,372266.53
2008-02-01,8.732,8.548,8.907,7.919,339636.19
2008-02-04,8.761,9.274,9.352,8.761,748297.66
2008-02-05,9.265,9.052,9.352,8.936,347540.27
2008-02-13,8.955,8.897,9.149,8.771,153976.98
2008-02-14,9.052,9.061,9.197,8.955,196308.42
2008-02-15,9.003,8.878,9.003,8.694,176487.3
2008-02-18,8.955,8.916,9.052,8.674,295669.93
2008-02-19,8.955,9.274,9.342,8.819,464701.77
2008-02-20,9.303,9.129,9.575,9.091,410664.52
2008-02-21,9.158,9.265,9.391,8.907,286888.04
2008-02-22,9.197,8.79,9.197,8.665,327962.97
2008-02-25,8.81,8.878,9.197,8.665,300998.87
2008-02-26,9.149,9.042,9.245,8.713,256918.97
2008-02-27,9.091,9.003,9.207,8.897,249420.57
2008-02-28,9.052,9.042,9.197,8.887,241321.68
2008-02-29,8.955,8.945,9.1,8.868,164307.3
2008-03-03,8.916,8.974,9.071,8.684,388159.33
2008-03-04,8.984,8.606,8.984,8.519,580758.06
2008-03-05,8.616,8.297,8.713,8.064,476078.44
2008-03-06,8.316,8.258,8.461,8.113,380160.51
2008-03-07,8.21,8.326,8.364,8.084,279903.47
2008-03-10,8.316,7.9,8.316,7.851,286440.88
2008-03-11,7.851,7.745,7.851,7.542,282944.99
2008-03-12,7.919,7.464,7.977,7.406,214214.45
2008-03-13,7.358,7.358,7.503,7.241,189028.26
2008-03-14,7.309,7.193,7.406,7.048,162138.8
2008-03-17,7.183,7.319,7.648,6.767,428949.71
2008-03-18,7.193,7.319,7.648,6.903,469533.03
2008-03-19,7.503,7.687,7.793,7.319,435351.74
2008-03-20,7.6,7.997,8.248,7.193,555559.36
2008-03-21,7.929,8.529,8.703,7.871,764784.31
2008-03-24,8.616,7.842,8.694,7.822,486528.58
2008-03-25,7.696,8.277,8.403,7.648,351890.44
2008-03-26,8.306,8.151,8.423,8.026,198973.14
2008-03-27,7.938,7.929,8.132,7.745,251465.38
2008-03-28,7.745,8.055,8.132,7.348,337068.25
2008-03-31,7.745,7.445,7.842,7.435,234225.7
2008-04-01,7.377,6.728,7.435,6.699,413553.8
2008-04-02,6.806,6.496,6.951,6.37,247676.98
2008-04-03,6.486,6.651,6.757,6.341,177261.15
2008-04-07,6.573,6.941,7.028,6.467,304670.55
2008-04-08,6.893,6.999,7.048,6.845,308244.82
2008-04-09,6.97,6.651,7.154,6.641,270525.96
2008-04-10,6.554,6.757,6.757,6.438,129400.43
2008-04-11,6.777,6.854,6.97,6.68,163667.39
2008-04-14,6.777,6.177,6.777,6.167,406339.47
2008-04-15,6.177,6.177,6.254,5.809,429509.64
2008-04-16,6.109,5.886,6.109,5.799,306560.26
2008-04-17,5.905,5.673,5.993,5.576,230970.01
2008-04-18,5.663,5.373,5.663,5.334,225604.76
2008-04-21,5.76,5.46,5.809,5.383,338607.99
2008-04-22,5.373,5.789,5.818,5.325,286492.0
2008-04-23,5.692,6.08,6.147,5.615,378201.05
2008-04-24,6.593,6.69,6.69,6.39,845630.55
2008-04-25,6.68,6.69,7.038,6.496,717413.94
2008-04-28,6.573,6.477,6.661,6.409,388760.13
2008-04-29,6.428,6.477,6.573,6.39,215994.22
2008-04-30,6.486,6.709,6.777,6.486,404725.62
2008-05-05,6.845,6.815,6.845,6.709,392800.69
2008-05-06,6.777,6.699,6.864,6.612,309343.37
2008-05-07,6.699,6.341,6.748,6.331,371354.63
2008-05-08,6.264,6.496,6.506,6.186,293652.68
2008-05-09,6.515,6.506,6.709,6.37,407469.81
2008-05-12,6.36,6.651,6.777,6.264,346039.8
2008-05-13,6.399,6.796,6.951,6.399,577696.27
2008-05-14,6.874,6.883,6.97,6.719,475723.27
2008-05-15,6.922,6.835,7.019,6.825,460102.04
2008-05-19,6.738,6.641,6.777,6.525,227670.18
2008-05-20,6.641,6.206,6.757,6.186,282702.04
2008-05-21,6.147,6.244,6.312,5.905,386045.01
2008-05-22,6.196,6.206,6.38,6.08,277387.11
2008-05-23,6.167,6.089,6.225,6.002,194394.56
2008-05-26,6.041,5.847,6.041,5.789,234334.31
2008-05-27,5.838,5.925,5.983,5.789,121128.82
2008-05-28,5.935,6.041,6.099,5.828,165168.79
2008-05-29,6.022,5.799,6.022,5.789,182327.31
2008-05-30,5.838,5.876,5.925,5.799,134815.26
2008-06-02,5.867,5.896,5.925,5.809,115399.7
2008-06-03,5.925,5.915,5.993,5.867,113342.07
2008-06-04,5.915,5.741,5.925,5.692,185906.57
2008-06-05,5.731,5.625,5.751,5.489,201613.52
2008-06-06,5.663,5.663,5.76,5.615,123614.8
2008-06-10,5.47,5.102,5.47,5.102,362905.03
2008-06-11,5.102,5.228,5.334,5.102,407738.17
2008-06-12,5.296,5.247,5.47,5.034,584194.78
2008-06-13,5.247,5.063,5.315,5.044,230263.63
2008-06-16,5.063,5.024,5.15,4.928,208922.15
2008-06-17,5.034,4.86,5.092,4.841,185875.03
2008-06-18,4.841,5.073,5.112,4.744,285662.02
2008-06-19,5.024,4.618,5.024,4.589,263248.37
2008-06-20,4.657,4.637,4.831,4.376,294714.38
2008-06-23,4.599,4.589,4.724,4.502,148305.52
2008-06-24,4.473,4.599,4.647,4.434,221548.36
2008-06-25,4.589,4.792,4.802,4.531,354153.26
2008-06-26,4.763,4.744,4.812,4.628,296011.57
2008-06-27,4.55,4.424,4.628,4.356,229264.97
2008-06-30,4.405,4.444,4.531,4.356,118343.75
2008-07-01,4.473,4.308,4.511,4.279,169194.0
2008-07-02,4.337,4.376,4.395,4.269,138021.73
2008-07-03,4.327,4.502,4.589,4.279,192063.45
2008-07-04,4.453,4.56,4.589,4.453,170926.53
2008-07-07,4.6,4.84,4.98,4.4,339992.78
2008-07-08,4.83,4.86,4.92,4.75,238947.05
2008-07-09,4.92,5.05,5.07,4.89,391175.58
2008-07-10,4.98,4.91,5.04,4.91,269548.32
2008-07-11,4.88,4.82,4.92,4.74,218315.66
2008-07-14,4.74,4.9,4.92,4.72,225069.87
2008-07-15,4.92,4.75,4.96,4.72,283082.06
2008-07-16,4.72,4.55,4.72,4.5,211949.11
2008-07-17,4.6,4.53,4.67,4.49,161140.82
2008-07-18,4.59,4.63,4.66,4.45,163488.34
2008-07-21,4.6,4.74,4.76,4.56,227866.86
2008-07-22,4.72,4.7,4.76,4.66,184244.27
2008-07-23,4.72,4.69,4.78,4.67,169151.2
2008-07-24,4.72,4.79,4.81,4.67,244956.67
2008-07-25,4.75,4.71,4.75,4.69,142175.88
2008-07-28,4.76,4.76,4.82,4.73,164619.07
2008-07-29,4.7,4.61,4.73,4.54,276287.53
2008-07-30,4.66,4.61,4.68,4.55,171803.46
2008-07-31,4.59,4.49,4.61,4.48,150685.8
2008-08-01,4.48,4.48,4.51,4.37,259935.58
2008-08-04,4.44,4.33,4.44,4.3,141713.22
2008-08-05,4.38,4.24,4.38,4.2,174010.26
2008-08-06,4.26,4.27,4.32,4.2,134217.34
2008-08-07,4.27,4.28,4.32,4.23,99510.47
2008-08-08,4.3,4.04,4.3,4.02,145511.07
2008-08-11,4.06,3.87,4.08,3.8,203191.25
2008-08-12,3.87,3.97,4.02,3.82,180491.3
2008-08-13,3.93,4.03,4.09,3.83,178422.48
2008-08-14,4.0,3.97,4.04,3.93,85449.98
2008-08-15,4.01,4.04,4.1,3.98,152998.16
2008-08-18,4.07,3.86,4.07,3.85,131023.66
2008-08-19,3.82,3.9,3.97,3.82,109723.44
2008-08-20,3.85,4.2,4.22,3.84,301243.33
2008-08-21,4.08,3.99,4.16,3.98,177145.51
2008-08-22,3.94,3.92,4.0,3.86,95354.39
2008-08-25,3.88,3.91,3.95,3.85,72621.99
2008-08-26,3.85,3.78,3.89,3.75,111997.36
2008-08-27,3.75,3.76,3.83,3.7,81657.59
2008-12-30,3.5,3.43,3.76,3.4,1245688.2
2008-12-31,3.33,3.25,3.44,3.22,713969.14
2009-01-05,3.26,3.39,3.41,3.25,549383.52
2009-01-06,3.32,3.67,3.73,3.29,1024817.12
2009-01-07,3.58,3.59,3.67,3.56,635763.99
2009-01-08,3.51,3.44,3.55,3.39,507186.47
2009-01-09,3.44,3.54,3.59,3.41,436407.97
2009-01-12,3.52,3.59,3.64,3.5,418029.96
2009-01-13,3.59,3.63,3.72,3.53,617194.2
2009-01-14,3.64,3.74,3.75,3.64,529271.8
2009-01-15,3.74,3.7,3.78,3.68,360118.34
2009-01-16,3.72,3.68,3.75,3.65,582730.13
2009-01-19,3.69,3.71,3.73,3.65,413800.18
2009-01-20,3.72,3.75,3.82,3.7,309714.91
2009-01-21,3.7,3.71,3.77,3.68,253801.47
2009-01-22,3.73,3.7,3.74,3.67,170600.01
2009-01-23,3.69,3.72,3.76,3.67,205207.76
2009-02-02,3.75,3.74,3.76,3.7,218322.03
2009-02-03,3.74,3.79,3.79,3.69,450291.86
2009-02-04,3.8,3.99,4.05,3.79,777186.94
2009-02-05,4.01,4.01,4.2,3.96,1117873.93
2009-02-06,4.02,4.12,4.13,4.02,671198.19
2009-02-09,4.15,4.42,4.45,4.15,1029438.17
2009-02-10,4.43,4.49,4.5,4.27,828530.18
2009-02-11,4.39,4.37,4.62,4.32,969604.4
2009-02-12,4.39,4.25,4.44,4.1,839447.13
2009-02-13,4.23,4.4,4.44,4.17,863793.82
2009-02-16,4.46,4.84,4.84,4.42,1326593.74
2009-02-17,4.88,4.6,4.94,4.57,1361008.27
2009-02-18,4.47,4.26,4.55,4.24,758160.57
2009-02-19,4.32,4.44,4.52,4.3,747806.3
2009-02-20,4.51,4.56,4.57,4.39,595503.29
2009-02-23,4.5,4.54,4.58,4.4,615295.42
2009-02-24,4.47,4.29,4.48,4.28,667938.47
2009-02-25,4.32,4.26,4.36,4.16,419433.84
2009-02-26,4.26,4.05,4.3,3.95,426080.25
2009-02-27,4.0,3.9,4.02,3.82,402650.5
2009-03-02,3.88,3.95,3.97,3.84,257841.7
2009-03-03,3.88,3.96,4.05,3.82,329978.61
2009-03-04,3.94,4.14,4.18,3.92,459307.05
2009-03-05,4.2,4.11,4.24,4.01,541429.34
2009-03-06,4.05,4.11,4.12,4.01,331534.54
2009-03-09,4.12,3.93,4.17,3.92,357298.01
2009-03-10,3.9,3.99,3.99,3.86,208356.01
2009-03-11,4.06,4.03,4.19,4.0,437481.04
2009-03-12,4.03,4.0,4.03,3.92,204178.12
2009-03-13,4.06,3.96,4.06,3.94,156399.31
2009-03-16,3.95,3.99,4.0,3.92,134505.46
